Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
12,8,11,88,31,4,31,0,3.0,31,2123,2123,1813,1813,29,29,31,31,31,31,26,0,0,0,,,,,,
12,9,26,93,31,4,31,0,3.0,31,2292,2292,1982,1982,55,55,31,31,31,31,31,0,0,0,0,,,,,
12,10,31,93,31,4,31,0,3.0,31,2292,2292,1982,1982,85,86,31,31,31,31,31,0,0,0,0,0,,,,
12,11,31,93,31,4,31,0,3.0,31,2292,2292,1982,1982,115,117,31,31,31,31,31,0,0,0,0,0,0,,,
12,12,31,93,31,4,31,0,3.0,31,2292,2292,1982,1982,145,148,31,31,31,31,31,0,0,0,0,0,0,0,,
12,13,31,93,31,4,31,0,3.0,31,2292,2292,1982,1982,175,179,31,31,31,31,31,0,0,0,0,0,0,0,0,
13,1,0,0,0,5,10,0,5.0,32,200,200,100,100,0,0,10,,,,,,,,,,,,,
13,2,0,0,10,4,10,0,3.0,32,200,200,100,100,0,0,10,10,,,,,,,,,,,,
13,3,0,10,10,4,11,0,3.0,32,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
13,4,0,20,11,4,26,0,3.0,32,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
13,5,0,31,26,4,32,0,3.0,32,878,878,558,558,0,0,32,26,11,10,10,,,,,,,,,
13,6,0,57,32,4,32,0,3.0,32,1564,1564,1244,1244,0,0,32,32,26,11,10,10,,,,,,,,
13,7,20,69,32,4,32,0,3.0,32,1471,1564,1151,1244,18,18,32,32,32,26,11,0,0,,,,,,,
13,8,11,90,32,4,32,0,3.0,32,2157,2157,1837,1837,29,29,32,32,32,32,26,0,0,0,,,,,,
13,9,26,96,32,4,32,0,3.0,32,2360,2360,2040,2040,55,55,32,32,32,32,32,0,0,0,0,,,,,
13,10,32,96,32,4,32,0,3.0,32,2360,2360,2040,2040,86,87,32,32,32,32,32,0,0,0,0,0,,,,
